Sentinel_ID,Date,Chla_Value,Turbidity_NTU,Shrinkage_Percent
SAS1412_001,2020-08-01,4.5,6.978,1.3220000000000027
SAS1412_002,2020-08-02,4.39,7.0009999999999994,1.2950000000000017
SAS1412_003,2020-08-03,4.42,6.984999999999999,1.3359999999999985
SAS1412_004,2020-08-04,4.59,6.978,1.3829999999999956
SAS1412_005,2020-08-05,4.44,6.993,1.4170000000000016
SAS1412_006,2020-08-06,4.59,6.997,1.3829999999999956
SAS1412_007,2020-08-07,4.6,6.954000000000001,1.3870000000000005
SAS1412_008,2020-08-08,4.69,7.005000000000001,1.399000000000001
SAS1412_009,2020-08-09,4.7,6.9670000000000005,1.4039999999999964
SAS1412_010,2020-08-10,4.55,7.01,1.4339999999999975
SAS1412_011,2020-08-11,4.6,7.005000000000001,1.4609999999999985
SAS1412_012,2020-08-12,4.66,6.946,1.4549999999999983
SAS1412_013,2020-08-13,4.77,6.971,1.433000000000007
SAS1412_014,2020-08-14,4.63,6.922000000000001,1.4099999999999966
SAS1412_015,2020-08-15,4.61,6.992000000000001,1.3979999999999961
SAS1412_016,2020-08-16,4.48,7.010999999999999,1.426000000000002
SAS1412_017,2020-08-17,4.57,6.933999999999999,1.4569999999999936
SAS1412_018,2020-08-18,4.76,6.9990000000000006,1.4309999999999974
SAS1412_019,2020-08-19,4.87,7.0009999999999994,1.445999999999998
SAS1412_020,2020-08-20,4.74,6.958,1.4680000000000035
SAS1412_021,2020-08-21,4.87,6.9719999999999995,1.5100000000000051
SAS1412_022,2020-08-22,4.7,7.015000000000001,1.4989999999999952
SAS1412_023,2020-08-23,4.87,6.942,1.5360000000000014
SAS1412_024,2020-08-24,4.86,7.006,1.531000000000006
SAS1412_025,2020-08-25,4.9,6.987,1.5570000000000022
SAS1412_026,2020-08-26,4.91,7.003,1.561000000000007
SAS1412_027,2020-08-27,4.94,6.9350000000000005,1.5319999999999965
SAS1412_028,2020-08-28,4.88,7.0169999999999995,1.5060000000000002
SAS1412_029,2020-08-29,4.69,6.993,1.531000000000006
SAS1412_030,2020-08-30,4.61,6.941000000000001,1.5150000000000006
SAS1412_031,2020-08-31,4.61,6.949,1.5120000000000005
SAS1412_032,2020-09-01,4.63,6.955,1.5499999999999972
SAS1412_033,2020-09-02,4.61,6.965999999999999,1.5150000000000006
SAS1412_034,2020-09-03,4.57,6.968,1.5100000000000051
SAS1412_035,2020-09-04,4.52,7.005000000000001,1.4969999999999999
SAS1412_036,2020-09-05,4.48,7.010999999999999,1.5420000000000016
SAS1412_037,2020-09-06,4.65,6.977,1.5450000000000017
SAS1412_038,2020-09-07,4.53,6.973000000000001,1.5849999999999937
SAS1412_039,2020-09-08,4.44,7.01,1.617999999999995
SAS1412_040,2020-09-09,4.62,6.970000000000001,1.581000000000003
SAS1412_041,2020-09-10,4.65,6.978999999999999,1.5409999999999968
SAS1412_042,2020-09-11,4.78,6.922000000000001,1.5859999999999985
SAS1412_043,2020-09-12,4.81,7.007,1.558000000000007
SAS1412_044,2020-09-13,4.77,7.016,1.524000000000001
SAS1412_045,2020-09-14,4.93,6.981999999999999,1.5090000000000003
